fold,SVM (RBF kernel),Logistic Regression,Random Forest (500 trees),XGBoost (500 trees)
1,0.368,0.84,0.76,0.712
2,0.304,0.832,0.776,0.712
3,0.352,0.824,0.76,0.728
4,0.28,0.856,0.768,0.784
5,0.3225806451612903,0.8790322580645161,0.7903225806451613,0.7903225806451613
6,0.3225806451612903,0.8870967741935484,0.8387096774193549,0.7741935483870968
7,0.32,0.792,0.688,0.784
8,0.3387096774193548,0.9274193548387096,0.8548387096774194,0.8467741935483871
9,0.23809523809523808,0.8174603174603174,0.7142857142857143,0.7619047619047619
10,0.43548387096774194,0.8629032258064516,0.8145161290322581,0.782258064516129
