,ROC_AUC,support
dim_sundori_pitha_pantowa,1.0,12.0
khola_jali_pitha,1.0,11.0
patishapta,1.0,8.0
chanamukhi,0.9997150997150998,13.0
jhal_jamai_pitha_chapri,0.9996924969249693,12.0
jhinuk_pitha,0.9991452991452991,13.0
taler_cone_pitha,0.9987834549878345,9.0
sorbhaja,0.998672331386086,14.0
narkel_puli_pitha,0.9980099502487562,15.0
syringe_pitha,0.9979946524064172,11.0
mera_pitha,0.9978021978021978,10.0
bibikhana_pitha,0.9972324723247232,12.0
bhapa_pitha,0.9965811965811966,13.0
sotin_mochor,0.996309963099631,12.0
chushi_pitha,0.9948717948717948,10.0
rosgoja_pitha,0.9937321937321938,13.0
binni_chaler_pitha,0.9934472934472935,13.0
khejuri_pitha,0.9893772893772894,10.0
malpoya,0.9854700854700855,13.0
gulgula,0.9787822878228782,12.0
chitoi,0.9704797047970479,12.0
nunia_pitha,0.9673393520977164,14.0
dudh_chitoi,0.9341880341880342,13.0
muittha_pitha,0.9272727272727272,8.0
