fold,SVM (RBF kernel),Logistic Regression,Random Forest (500 trees),XGBoost (500 trees)
1,0.784,0.896,0.872,0.784
2,0.792,0.864,0.784,0.744
3,0.76,0.904,0.8,0.76
4,0.792,0.928,0.832,0.832
5,0.782258064516129,0.8870967741935484,0.8467741935483871,0.7419354838709677
6,0.8145161290322581,0.9193548387096774,0.8387096774193549,0.8145161290322581
7,0.792,0.88,0.816,0.816
8,0.8548387096774194,0.8951612903225806,0.8951612903225806,0.8709677419354839
9,0.7222222222222222,0.8253968253968254,0.7698412698412699,0.7301587301587301
10,0.8467741935483871,0.8870967741935484,0.8951612903225806,0.8225806451612904
