,ROC_AUC,support
bhapa_pitha,1.0,13.0
chitoi,1.0,12.0
dim_sundori_pitha_pantowa,1.0,12.0
taler_cone_pitha,1.0,9.0
syringe_pitha,1.0,11.0
mera_pitha,1.0,10.0
khola_jali_pitha,1.0,11.0
jhal_jamai_pitha_chapri,1.0,12.0
sotin_mochor,1.0,12.0
binni_chaler_pitha,0.9991452991452991,13.0
jhinuk_pitha,0.9988603988603989,13.0
chanamukhi,0.9985754985754985,13.0
narkel_puli_pitha,0.9982587064676617,15.0
patishapta,0.9981818181818182,8.0
sorbhaja,0.9970791290493892,14.0
chushi_pitha,0.9956043956043956,10.0
bibikhana_pitha,0.9953874538745388,12.0
gulgula,0.9892373923739237,12.0
khejuri_pitha,0.9882783882783883,10.0
nunia_pitha,0.9877854487519915,14.0
muittha_pitha,0.9859090909090908,8.0
dudh_chitoi,0.9857549857549857,13.0
rosgoja_pitha,0.9823361823361824,13.0
malpoya,0.9772079772079771,13.0
