true_label,predicted_label,count
bibikhana_pitha,dudh_chitoi,2
dudh_chitoi,chushi_pitha,2
gulgula,malpoya,2
dudh_chitoi,rosgoja_pitha,2
chushi_pitha,bibikhana_pitha,1
chushi_pitha,dudh_chitoi,1
chanamukhi,muittha_pitha,1
binni_chaler_pitha,bibikhana_pitha,1
chushi_pitha,syringe_pitha,1
chushi_pitha,rosgoja_pitha,1
gulgula,sorbhaja,1
jhinuk_pitha,khejuri_pitha,1
khejuri_pitha,chanamukhi,1
khejuri_pitha,chushi_pitha,1
khejuri_pitha,muittha_pitha,1
malpoya,khejuri_pitha,1
muittha_pitha,chanamukhi,1
muittha_pitha,gulgula,1
muittha_pitha,khejuri_pitha,1
muittha_pitha,taler_cone_pitha,1
narkel_puli_pitha,jhinuk_pitha,1
narkel_puli_pitha,nunia_pitha,1
narkel_puli_pitha,patishapta,1
nunia_pitha,dudh_chitoi,1
patishapta,binni_chaler_pitha,1
rosgoja_pitha,bibikhana_pitha,1
rosgoja_pitha,chanamukhi,1
rosgoja_pitha,dudh_chitoi,1
rosgoja_pitha,nunia_pitha,1
rosgoja_pitha,patishapta,1
sorbhaja,nunia_pitha,1
sorbhaja,taler_cone_pitha,1
