fold,SVM (RBF kernel),Logistic Regression,Random Forest (500 trees),XGBoost (500 trees)
1,0.896,0.88,0.824,0.792
2,0.864,0.88,0.816,0.784
3,0.888,0.888,0.808,0.832
4,0.904,0.904,0.856,0.816
5,0.967741935483871,0.9435483870967742,0.9193548387096774,0.8548387096774194
6,0.9193548387096774,0.9435483870967742,0.8387096774193549,0.8225806451612904
7,0.88,0.864,0.856,0.8
8,0.9112903225806451,0.9112903225806451,0.8709677419354839,0.8790322580645161
9,0.8650793650793651,0.8571428571428571,0.7857142857142857,0.7380952380952381
10,0.9274193548387096,0.9032258064516129,0.8709677419354839,0.8467741935483871
