class,train_original,train_augmented,validation,test,total_original
bhapa_pitha,56,280,12,13,81
bibikhana_pitha,52,260,11,12,75
binni_chaler_pitha,60,300,13,13,86
chanamukhi,56,280,12,13,81
chitoi,53,265,12,12,77
chushi_pitha,43,215,9,10,62
dim_sundori_pitha_pantowa,56,280,12,12,80
dudh_chitoi,60,300,13,13,86
gulgula,52,260,11,12,75
jhal_jamai_pitha_chapri,51,255,11,12,74
jhinuk_pitha,56,280,12,13,81
khejuri_pitha,46,230,10,10,66
khola_jali_pitha,47,235,10,11,68
malpoya,57,285,12,13,82
mera_pitha,46,230,10,10,66
muittha_pitha,35,175,8,8,51
narkel_puli_pitha,66,330,14,15,95
nunia_pitha,61,305,13,14,88
patishapta,35,175,7,8,50
rosgoja_pitha,57,285,12,13,82
sorbhaja,60,300,13,14,87
sotin_mochor,53,265,12,12,77
syringe_pitha,49,245,10,11,70
taler_cone_pitha,40,200,9,9,58
TOTAL,1247,6235,268,283,1798
