,precision,recall,f1-score,support
bhapa_pitha,0.9285714285714286,1.0,0.9629629629629629,13.0
bibikhana_pitha,0.8181818181818182,0.75,0.782608695652174,12.0
binni_chaler_pitha,0.7647058823529411,1.0,0.8666666666666667,13.0
chanamukhi,0.9285714285714286,1.0,0.9629629629629629,13.0
chitoi,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
chushi_pitha,0.9,0.9,0.9,10.0
dim_sundori_pitha_pantowa,1.0,1.0,1.0,12.0
dudh_chitoi,0.8333333333333334,0.7692307692307693,0.8,13.0
gulgula,0.875,0.5833333333333334,0.7,12.0
jhal_jamai_pitha_chapri,1.0,1.0,1.0,12.0
jhinuk_pitha,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
khejuri_pitha,0.7,0.7,0.7,10.0
khola_jali_pitha,0.9166666666666666,1.0,0.9565217391304348,11.0
malpoya,0.75,0.9230769230769231,0.8275862068965517,13.0
mera_pitha,0.9,0.9,0.9,10.0
muittha_pitha,0.8571428571428571,0.75,0.8,8.0
narkel_puli_pitha,1.0,0.8,0.8888888888888888,15.0
nunia_pitha,0.8125,0.9285714285714286,0.8666666666666667,14.0
patishapta,1.0,0.875,0.9333333333333333,8.0
rosgoja_pitha,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
sorbhaja,0.875,1.0,0.9333333333333333,14.0
sotin_mochor,1.0,0.6666666666666666,0.8,12.0
syringe_pitha,1.0,1.0,1.0,11.0
taler_cone_pitha,1.0,0.8888888888888888,0.9411764705882353,9.0
accuracy,0.8798586572438163,0.8798586572438163,0.8798586572438163,283.0
macro avg,0.889559041856836,0.8765555046805048,0.8777013528836147,283.0
weighted avg,0.887223880879046,0.8798586572438163,0.877951384527207,283.0
