,ROC_AUC,support
bhapa_pitha,1.0,13.0
dim_sundori_pitha_pantowa,1.0,12.0
khola_jali_pitha,1.0,11.0
syringe_pitha,1.0,11.0
patishapta,1.0,8.0
taler_cone_pitha,1.0,9.0
jhal_jamai_pitha_chapri,1.0,12.0
sorbhaja,0.9997344662772172,14.0
chanamukhi,0.9994301994301995,13.0
mera_pitha,0.9989010989010989,10.0
binni_chaler_pitha,0.9988603988603989,13.0
jhinuk_pitha,0.9988603988603989,13.0
nunia_pitha,0.998672331386086,14.0
sotin_mochor,0.9984624846248462,12.0
chushi_pitha,0.9978021978021978,10.0
chitoi,0.9972324723247232,12.0
bibikhana_pitha,0.9969249692496924,12.0
dudh_chitoi,0.9954415954415955,13.0
muittha_pitha,0.995,8.0
khejuri_pitha,0.9941391941391942,10.0
malpoya,0.9934472934472934,13.0
gulgula,0.9886223862238623,12.0
narkel_puli_pitha,0.9805970149253731,15.0
rosgoja_pitha,0.9737891737891738,13.0
