true_label,predicted_label,count
gulgula,malpoya,4
bibikhana_pitha,dudh_chitoi,2
narkel_puli_pitha,nunia_pitha,2
chitoi,khola_jali_pitha,1
bibikhana_pitha,binni_chaler_pitha,1
chushi_pitha,chitoi,1
dudh_chitoi,binni_chaler_pitha,1
dudh_chitoi,chushi_pitha,1
dudh_chitoi,rosgoja_pitha,1
gulgula,sorbhaja,1
jhinuk_pitha,khejuri_pitha,1
khejuri_pitha,binni_chaler_pitha,1
chitoi,bhapa_pitha,1
khejuri_pitha,jhinuk_pitha,1
khejuri_pitha,rosgoja_pitha,1
mera_pitha,khejuri_pitha,1
malpoya,khejuri_pitha,1
muittha_pitha,chitoi,1
muittha_pitha,mera_pitha,1
narkel_puli_pitha,rosgoja_pitha,1
nunia_pitha,muittha_pitha,1
patishapta,binni_chaler_pitha,1
rosgoja_pitha,chanamukhi,1
rosgoja_pitha,nunia_pitha,1
sotin_mochor,bibikhana_pitha,1
sotin_mochor,gulgula,1
sotin_mochor,rosgoja_pitha,1
sotin_mochor,sorbhaja,1
taler_cone_pitha,bibikhana_pitha,1
