fold,SVM (RBF kernel),Logistic Regression,Random Forest (500 trees),XGBoost (500 trees)
1,0.76,0.88,0.816,0.792
2,0.768,0.872,0.832,0.752
3,0.784,0.88,0.84,0.808
4,0.76,0.864,0.808,0.768
5,0.7661290322580645,0.9435483870967742,0.8790322580645161,0.8064516129032258
6,0.782258064516129,0.8951612903225806,0.8064516129032258,0.8387096774193549
7,0.704,0.832,0.784,0.784
8,0.7903225806451613,0.8951612903225806,0.8629032258064516,0.7903225806451613
9,0.6587301587301587,0.8492063492063492,0.753968253968254,0.753968253968254
10,0.7983870967741935,0.8951612903225806,0.8870967741935484,0.8629032258064516
