,precision,recall,f1-score,support
bhapa_pitha,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
bibikhana_pitha,0.75,0.75,0.75,12.0
binni_chaler_pitha,0.9285714285714286,1.0,0.9629629629629629,13.0
chanamukhi,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
chitoi,1.0,0.9166666666666666,0.9565217391304348,12.0
chushi_pitha,0.7272727272727273,0.8,0.7619047619047619,10.0
dim_sundori_pitha_pantowa,1.0,1.0,1.0,12.0
dudh_chitoi,0.8181818181818182,0.6923076923076923,0.75,13.0
gulgula,0.8181818181818182,0.75,0.782608695652174,12.0
jhal_jamai_pitha_chapri,0.8181818181818182,0.75,0.782608695652174,12.0
jhinuk_pitha,0.75,0.9230769230769231,0.8275862068965517,13.0
khejuri_pitha,0.625,0.5,0.5555555555555556,10.0
khola_jali_pitha,1.0,1.0,1.0,11.0
malpoya,0.75,0.6923076923076923,0.72,13.0
mera_pitha,1.0,1.0,1.0,10.0
muittha_pitha,0.36363636363636365,0.5,0.42105263157894735,8.0
narkel_puli_pitha,1.0,0.7333333333333333,0.8461538461538461,15.0
nunia_pitha,0.8,0.8571428571428571,0.8275862068965517,14.0
patishapta,0.875,0.875,0.875,8.0
rosgoja_pitha,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
sorbhaja,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
sotin_mochor,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
syringe_pitha,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
taler_cone_pitha,1.0,1.0,1.0,9.0
accuracy,0.8268551236749117,0.8268551236749117,0.8268551236749117,283.0
macro avg,0.8296307858807858,0.8252681346431346,0.8244494423939734,283.0
weighted avg,0.8351470084685633,0.8268551236749117,0.8278912335232149,283.0
