,ROC_AUC,support
dim_sundori_pitha_pantowa,1.0,12.0
khola_jali_pitha,1.0,11.0
taler_cone_pitha,1.0,9.0
mera_pitha,0.9996336996336996,10.0
chanamukhi,0.9991452991452991,13.0
binni_chaler_pitha,0.9988603988603989,13.0
bhapa_pitha,0.9988603988603989,13.0
chitoi,0.9984624846248463,12.0
syringe_pitha,0.9979946524064172,11.0
jhinuk_pitha,0.9971509971509972,13.0
sorbhaja,0.9965480616038237,14.0
jhal_jamai_pitha_chapri,0.9956949569495694,12.0
nunia_pitha,0.9954859267126925,14.0
sotin_mochor,0.9953874538745388,12.0
patishapta,0.9927272727272727,8.0
chushi_pitha,0.9901098901098901,10.0
malpoya,0.9880341880341881,13.0
narkel_puli_pitha,0.9848258706467662,15.0
gulgula,0.9833948339483394,12.0
rosgoja_pitha,0.9820512820512821,13.0
dudh_chitoi,0.9806267806267805,13.0
bibikhana_pitha,0.9710947109471095,12.0
muittha_pitha,0.9663636363636363,8.0
khejuri_pitha,0.9641025641025642,10.0
