true_label,predicted_label,count
dudh_chitoi,chushi_pitha,2
gulgula,malpoya,2
malpoya,gulgula,2
khejuri_pitha,jhinuk_pitha,2
narkel_puli_pitha,muittha_pitha,2
bibikhana_pitha,sorbhaja,1
chanamukhi,muittha_pitha,1
chitoi,bhapa_pitha,1
chushi_pitha,syringe_pitha,1
bibikhana_pitha,jhal_jamai_pitha_chapri,1
bhapa_pitha,rosgoja_pitha,1
bibikhana_pitha,dudh_chitoi,1
dudh_chitoi,rosgoja_pitha,1
dudh_chitoi,jhal_jamai_pitha_chapri,1
chushi_pitha,rosgoja_pitha,1
jhal_jamai_pitha_chapri,nunia_pitha,1
jhal_jamai_pitha_chapri,syringe_pitha,1
jhinuk_pitha,rosgoja_pitha,1
khejuri_pitha,chushi_pitha,1
gulgula,sorbhaja,1
khejuri_pitha,muittha_pitha,1
khejuri_pitha,rosgoja_pitha,1
malpoya,bibikhana_pitha,1
malpoya,khejuri_pitha,1
muittha_pitha,bhapa_pitha,1
muittha_pitha,jhinuk_pitha,1
muittha_pitha,nunia_pitha,1
jhal_jamai_pitha_chapri,dudh_chitoi,1
muittha_pitha,syringe_pitha,1
narkel_puli_pitha,jhinuk_pitha,1
narkel_puli_pitha,khejuri_pitha,1
nunia_pitha,malpoya,1
nunia_pitha,muittha_pitha,1
patishapta,binni_chaler_pitha,1
rosgoja_pitha,chanamukhi,1
rosgoja_pitha,muittha_pitha,1
rosgoja_pitha,nunia_pitha,1
rosgoja_pitha,patishapta,1
sorbhaja,bibikhana_pitha,1
sorbhaja,khejuri_pitha,1
sorbhaja,muittha_pitha,1
sotin_mochor,bibikhana_pitha,1
sotin_mochor,sorbhaja,1
syringe_pitha,sotin_mochor,1
