fold,SVM (RBF kernel),Logistic Regression,Random Forest (500 trees),XGBoost (500 trees)
1,0.28,0.864,0.792,0.784
2,0.264,0.88,0.784,0.744
3,0.296,0.88,0.8,0.768
4,0.264,0.88,0.832,0.792
5,0.25,0.9032258064516129,0.8790322580645161,0.8306451612903226
6,0.27419354838709675,0.9435483870967742,0.8548387096774194,0.8064516129032258
7,0.216,0.84,0.808,0.776
8,0.33064516129032256,0.9193548387096774,0.8870967741935484,0.8629032258064516
9,0.19047619047619047,0.8571428571428571,0.7857142857142857,0.7857142857142857
10,0.2903225806451613,0.9435483870967742,0.8709677419354839,0.8387096774193549
