,ROC_AUC,support
chitoi,1.0,12.0
mera_pitha,1.0,10.0
syringe_pitha,1.0,11.0
taler_cone_pitha,1.0,9.0
khola_jali_pitha,1.0,11.0
jhal_jamai_pitha_chapri,1.0,12.0
jhinuk_pitha,1.0,13.0
binni_chaler_pitha,0.9994301994301994,13.0
dim_sundori_pitha_pantowa,0.9993849938499385,12.0
bhapa_pitha,0.9991452991452991,13.0
sorbhaja,0.9989378651088687,14.0
patishapta,0.9986363636363637,8.0
chanamukhi,0.9971509971509972,13.0
chushi_pitha,0.9970695970695971,10.0
narkel_puli_pitha,0.9952736318407961,15.0
sotin_mochor,0.995079950799508,12.0
gulgula,0.9920049200492005,12.0
nunia_pitha,0.9904407859798194,14.0
malpoya,0.9894586894586894,13.0
bibikhana_pitha,0.9889298892988929,12.0
muittha_pitha,0.9831818181818182,8.0
dudh_chitoi,0.9806267806267807,13.0
rosgoja_pitha,0.9752136752136752,13.0
khejuri_pitha,0.9626373626373625,10.0
