fold,SVM (RBF kernel),Logistic Regression,Random Forest (500 trees),XGBoost (500 trees)
1,0.8671875,0.8515625,0.7890625,0.78125
2,0.8217054263565892,0.8372093023255814,0.7441860465116279,0.751937984496124
3,0.8984375,0.8828125,0.8359375,0.8125
4,0.875,0.8671875,0.828125,0.796875
5,0.8515625,0.8984375,0.84375,0.7578125
6,0.828125,0.8359375,0.7734375,0.7421875
7,0.8984375,0.8515625,0.859375,0.8203125
8,0.8604651162790697,0.8914728682170543,0.7829457364341085,0.7829457364341085
9,0.8346456692913385,0.8110236220472441,0.7637795275590551,0.7165354330708661
10,0.9133858267716536,0.8818897637795275,0.8661417322834646,0.8031496062992126
