,precision,recall,f1-score,support
bhapa_pitha,0.75,0.9230769230769231,0.8275862068965517,13.0
bibikhana_pitha,0.8,0.6666666666666666,0.7272727272727273,12.0
binni_chaler_pitha,0.8125,0.9285714285714286,0.8666666666666667,14.0
chanamukhi,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
chitoi,0.75,0.6923076923076923,0.72,13.0
chushi_pitha,0.875,0.7,0.7777777777777778,10.0
dim_sundori_pitha_pantowa,1.0,1.0,1.0,12.0
dudh_chitoi,0.6666666666666666,0.7142857142857143,0.6896551724137931,14.0
gulgula,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
jhal_jamai_pitha_chapri,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
jhinuk_pitha,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
khejuri_pitha,0.6666666666666666,0.6,0.631578947368421,10.0
khola_jali_pitha,0.7857142857142857,1.0,0.88,11.0
malpoya,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
mera_pitha,0.75,0.8181818181818182,0.782608695652174,11.0
muittha_pitha,0.8333333333333334,0.625,0.7142857142857143,8.0
narkel_puli_pitha,0.9230769230769231,0.8,0.8571428571428571,15.0
nunia_pitha,0.8,0.8571428571428571,0.8275862068965517,14.0
patishapta,0.875,0.875,0.875,8.0
rosgoja_pitha,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
sorbhaja,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
sotin_mochor,0.75,0.75,0.75,12.0
syringe_pitha,1.0,1.0,1.0,11.0
taler_cone_pitha,1.0,0.9090909090909091,0.9523809523809523,11.0
accuracy,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517
macro avg,0.8310729201354201,0.8239614552114553,0.8240039020371716,290.0
weighted avg,0.8298803782424472,0.8275862068965517,0.825409926953306,290.0
