,ROC_AUC,support
dim_sundori_pitha_pantowa,1.0,12.0
taler_cone_pitha,1.0,11.0
syringe_pitha,1.0,11.0
khola_jali_pitha,1.0,11.0
patishapta,0.999113475177305,8.0
binni_chaler_pitha,0.9981884057971014,14.0
jhal_jamai_pitha_chapri,0.9979016786570744,12.0
chanamukhi,0.9972229936128854,13.0
gulgula,0.9961121910580394,13.0
jhinuk_pitha,0.9961121910580394,13.0
bhapa_pitha,0.995834490419328,13.0
chushi_pitha,0.9953571428571428,10.0
bibikhana_pitha,0.9946043165467626,12.0
sorbhaja,0.994047619047619,14.0
nunia_pitha,0.990424430641822,14.0
dudh_chitoi,0.9899068322981367,14.0
malpoya,0.9894473757289641,13.0
narkel_puli_pitha,0.985939393939394,15.0
rosgoja_pitha,0.9841710635934463,13.0
mera_pitha,0.9807754969045291,11.0
sotin_mochor,0.9793165467625898,12.0
chitoi,0.9750069425159678,13.0
muittha_pitha,0.9525709219858156,8.0
khejuri_pitha,0.8667857142857143,10.0
