fold,SVM (RBF kernel),Logistic Regression,Random Forest (500 trees),XGBoost (500 trees)
1,0.848,0.896,0.808,0.76
2,0.88,0.864,0.776,0.752
3,0.832,0.824,0.744,0.736
4,0.864,0.904,0.792,0.752
5,0.8548387096774194,0.8709677419354839,0.8064516129032258,0.7903225806451613
6,0.8790322580645161,0.9354838709677419,0.7983870967741935,0.8225806451612904
7,0.832,0.776,0.768,0.752
8,0.9354838709677419,0.9112903225806451,0.8306451612903226,0.8225806451612904
9,0.8095238095238095,0.8253968253968254,0.7619047619047619,0.6666666666666666
10,0.9032258064516129,0.8870967741935484,0.8467741935483871,0.8306451612903226
