,precision,recall,f1-score,support
bhapa_pitha,0.8,0.9230769230769231,0.8571428571428571,13.0
bibikhana_pitha,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
binni_chaler_pitha,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
chanamukhi,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
chitoi,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
chushi_pitha,0.8888888888888888,0.8,0.8421052631578947,10.0
dim_sundori_pitha_pantowa,0.9230769230769231,1.0,0.96,12.0
dudh_chitoi,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0
gulgula,0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0
jhal_jamai_pitha_chapri,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
jhinuk_pitha,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
khejuri_pitha,0.8333333333333334,0.5,0.625,10.0
khola_jali_pitha,0.9166666666666666,1.0,0.9565217391304348,11.0
malpoya,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
mera_pitha,0.6666666666666666,0.8,0.7272727272727273,10.0
muittha_pitha,0.6666666666666666,0.5,0.5714285714285714,8.0
narkel_puli_pitha,1.0,0.8,0.8888888888888888,15.0
nunia_pitha,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
patishapta,1.0,0.875,0.9333333333333333,8.0
rosgoja_pitha,0.7142857142857143,0.7692307692307693,0.7407407407407407,13.0
sorbhaja,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0
sotin_mochor,0.8181818181818182,0.75,0.782608695652174,12.0
syringe_pitha,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
taler_cone_pitha,1.0,0.8888888888888888,0.9411764705882353,9.0
accuracy,0.823321554770318,0.823321554770318,0.823321554770318,283.0
macro avg,0.8316543614337734,0.8178302022052022,0.8194030724872307,283.0
weighted avg,0.8293735168501328,0.823321554770318,0.8212870352485009,283.0
