,ROC_AUC,support
dim_sundori_pitha_pantowa,1.0,12.0
khola_jali_pitha,1.0,11.0
taler_cone_pitha,1.0,9.0
syringe_pitha,0.9993315508021391,11.0
binni_chaler_pitha,0.9991452991452991,13.0
patishapta,0.999090909090909,8.0
jhal_jamai_pitha_chapri,0.998769987699877,12.0
chitoi,0.997539975399754,12.0
sotin_mochor,0.9972324723247232,12.0
bhapa_pitha,0.9968660968660968,13.0
jhinuk_pitha,0.9965811965811966,13.0
chushi_pitha,0.9956043956043956,10.0
sorbhaja,0.9952203929899097,14.0
chanamukhi,0.9948717948717949,13.0
mera_pitha,0.9945054945054944,10.0
bibikhana_pitha,0.9941574415744157,12.0
nunia_pitha,0.9912373871481678,14.0
malpoya,0.9911680911680911,13.0
narkel_puli_pitha,0.9900497512437811,15.0
rosgoja_pitha,0.9794871794871794,13.0
muittha_pitha,0.9772727272727273,8.0
dudh_chitoi,0.9612535612535612,13.0
gulgula,0.9394218942189423,12.0
khejuri_pitha,0.9018315018315018,10.0
